Heat Load (W),Heat Flux (W/cmÂ²),Heat Pipe Length,Heat Pipe Diameter,Heat Pipe Width,Heat Pipe Thickness,Evaporator Length,Condenser Length,Adiabatic Length,Working Fluid,Heat Pipe Material,Wick Structure,Wick Material,Fill Ratio,Orientation,Cooling Method,Air Velocity,Ambient Temperature,Maximum Temperature,Average Temperature,Thermal Resistance,Effective Thermal Conductivity,Pressure Drop,Efficiency
7.3,0.67,255.2,6,,,58.1,81.6,115.5,Methanol,Aluminum,Grooved,Aluminum,45.1,Vertical (Bottom Heat),Natural Convection,0,33.1,33.2,33.1,0.0195,956315,141486129.4,
60.2,12.1,108,8,29.6,1.7,19.8,38.3,49.9,Methanol,Copper,Grooved,Copper,53.6,Horizontal,Natural Convection,0,20.8,22,21.4,0.0199,196310,342843847.9,
61.2,6.23,334.3,4,4.2,3,78.2,108.7,147.4,Water,Aluminum,Grooved,Aluminum,67.5,Horizontal,Forced Convection,2.8,37.8,39.1,38.3,0.0219,1906154,,
61,2.98,278.2,10,,,65.2,129.8,83.2,Acetone,Aluminum,Grooved,Aluminum,64.7,Vertical (Bottom Heat),Forced Convection,3.1,28,28.4,28.1,0.0065,742018,249666595.2,95.2
104.4,6.48,313,6,13.5,2.1,85.5,116.7,110.8,Water,Copper,Grooved,Copper,45.2,Vertical (Bottom Heat),Forced Convection,2.8,26,26.6,26.2,0.006,2723269,,
50.6,4.01,259.3,8,,,50.2,95,114.1,Water,Aluminum,Grooved,Aluminum,51.5,Horizontal,Natural Convection,0,41.1,41.8,41.4,0.0137,696424,103940830.2,
39.3,6.95,99.4,8,,,22.5,34.6,42.3,Water,Aluminum,Grooved,Aluminum,55.1,Vertical (Bottom Heat),Forced Convection,2.8,32.3,33.4,32.8,0.0273,118450,36998010.5,
107,11.68,174.4,6,8.6,3.3,48.6,76.8,49,Water,Copper,Grooved,Copper,47.4,Vertical (Bottom Heat),Forced Convection,2.1,39,40.1,39.4,0.01,816004,,
104.5,44.35,80.5,6,8.6,3.3,12.5,33,35,Water,Aluminum,Grooved,Aluminum,66.6,Vertical (Bottom Heat),Forced Convection,1.2,41.8,47.7,43.4,0.0569,64169,,96.1
133.2,17.52,291,4,4.8,2.6,60.5,113.1,117.4,Water,Aluminum,Grooved,Aluminum,48.5,Horizontal,Forced Convection,3.7,36.5,39.7,37.5,0.0239,1250337,,
175.4,9.03,293.3,10,20.1,3.9,61.8,89.5,142,Water,Aluminum,Grooved,Aluminum,68,Horizontal,Natural Convection,0,21,22.6,21.8,0.009,848042,,
44.3,7.42,83.5,10,,,19,36.5,28,Water,Aluminum,Grooved,Aluminum,56.9,Horizontal,Forced Convection,3.2,40.6,41.6,41,0.0215,66783,,
21.6,2.02,200,10,28,2.8,34,75.6,90.4,Ammonia,Copper,Grooved,Copper,52.2,Horizontal,Forced Convection,1.2,42,42.1,42,0.0068,526206,28537233.5,
72.4,11.95,110.3,8,,,24.1,44.3,41.9,Water,Aluminum,Grooved,Aluminum,49.9,Horizontal,Forced Convection,2.3,43.9,45.5,44.4,0.0222,136281,,
63.4,3.19,212.4,10,20.1,3.9,63.3,97.5,51.6,Water,Copper,Grooved,Copper,68.8,Horizontal,Forced Convection,3.8,27.9,28.2,28,0.0043,890816,,96.2
32.7,3.47,168.9,6,18.8,1.5,50,71.5,47.4,Ammonia,Copper,Grooved,Copper,65.8,Vertical (Bottom Heat),Natural Convection,0,21,21.4,21.2,0.0127,812649,,
173.9,7.36,283.7,10,,,75.2,96.8,111.7,Acetone,Copper,Grooved,Copper,35.4,Vertical (Bottom Heat),Natural Convection,0,29,29.8,29.4,0.0048,1584040,,94.8
62.9,6.22,137.2,10,,,32.2,45.3,59.7,Water,Copper,Grooved,Copper,32.5,Anti-Gravity (Top Heat),Natural Convection,0,33.9,34.6,34.3,0.0106,337976,,
100,7.78,173.6,10,46.2,1.7,40.9,80,52.7,Water,Aluminum,Grooved,Aluminum,44.4,Horizontal,Forced Convection,4,23.1,24.1,23.4,0.0103,291768,,
8.2,0.6,251.6,6,23.6,1.2,72.6,90.3,88.7,Water,Aluminum,Grooved,Aluminum,53,Horizontal,Natural Convection,0,42.8,42.9,42.8,0.016,1098031,24576900.8,
52.8,2.41,282,10,,,69.7,139,73.3,Acetone,Copper,Grooved,Copper,69.3,Vertical (Bottom Heat),Natural Convection,0,20.5,20.7,20.6,0.0043,1319302,,
34.9,1.63,303.2,10,60.4,1.3,68,119.3,115.9,Ammonia,Copper,Grooved,Copper,56.6,Vertical (Bottom Heat),Forced Convection,1.2,40.8,40.9,40.8,0.0037,1518818,,
6.5,1.2,267.7,4,,,43.2,82.9,141.6,Acetone,Aluminum,Grooved,Aluminum,62.6,Horizontal,Forced Convection,2.6,41.7,41.9,41.8,0.0351,893794,,
56.8,9.62,106.2,8,,,23.5,32.2,50.5,Acetone,Copper,Grooved,Copper,61.8,Horizontal,Natural Convection,0,21.6,22.7,22.2,0.0192,231210,,
125.4,22.13,180.5,4,,,45.1,74.4,61,Water,Copper,Grooved,Copper,56.8,Vertical (Bottom Heat),Natural Convection,0,27,30.3,28.7,0.0261,931998,,
117.1,4.16,306.8,10,,,89.5,100.1,117.2,Acetone,Copper,Grooved,Copper,42.3,Vertical (Bottom Heat),Natural Convection,0,24.3,24.8,24.6,0.0044,2021635,,
82,6.39,326.9,6,,,68.1,140.3,118.5,Water,Aluminum,Grooved,Aluminum,56.2,Horizontal,Forced Convection,1.1,23.5,24.4,23.8,0.0112,1348043,375144103.3,
85.8,9.97,105.1,10,21.2,3.7,27.4,33.8,43.9,Acetone,Aluminum,Grooved,Aluminum,48,Vertical (Bottom Heat),Natural Convection,0,33.1,35.1,34.2,0.0234,128562,,
134.9,23.46,105.4,6,14.9,1.9,30.5,37.6,37.3,Water,Copper,Grooved,Copper,64.7,Anti-Gravity (Top Heat),Natural Convection,0,37,40.2,38.8,0.0234,327113,,
112.4,41.22,85.2,4,6.3,2,21.7,35.6,27.9,Water,Aluminum,Grooved,Aluminum,42.1,Vertical (Bottom Heat),Natural Convection,0,37.6,47.6,42.5,0.0894,124196,179180287,
165.5,7.77,263.7,10,56.1,1.4,67.8,115,80.9,Methanol,Copper,Grooved,Copper,67.6,Vertical (Bottom Heat),Natural Convection,0,28.5,29.3,28.9,0.0048,1244753,,
11.9,2.1,97.2,8,18.6,2.7,22.5,35.7,39,Acetone,Aluminum,Grooved,Aluminum,61.5,Horizontal,Natural Convection,0,34.7,35.1,34.9,0.033,113735,,95.2
17,1.42,135.5,10,,,38,57.6,39.9,Water,Copper,Grooved,Copper,51.6,Anti-Gravity (Top Heat),Natural Convection,0,31.8,32,31.9,0.0089,355297,,
6.4,1.41,92.8,6,14.9,1.9,24,41.4,27.4,Acetone,Copper,Grooved,Copper,62.8,Vertical (Bottom Heat),Forced Convection,1.2,38.2,38.3,38.2,0.0206,216676,,
167.6,12.92,310.8,6,,,68.8,133.5,108.5,Water,Copper,Grooved,Copper,34,Horizontal,Natural Convection,0,24,25.4,24.7,0.0086,2168113,,
23,1.53,300.8,10,,,48,129.4,123.4,Water,Aluminum,Grooved,Aluminum,61,Horizontal,Natural Convection,0,29.6,29.8,29.7,0.01,641852,54215386.3,
72.9,12.78,124.5,8,15.2,3.3,22.7,44.1,57.7,Acetone,Copper,Grooved,Copper,44.9,Vertical (Bottom Heat),Natural Convection,0,41.3,42.6,41.9,0.0182,259681,,
12.4,1.02,152.5,10,,,38.8,75.9,37.8,Water,Aluminum,Grooved,Aluminum,59.2,Vertical (Bottom Heat),Natural Convection,0,41.8,42,41.9,0.0138,232759,10715714.9,
126.6,11.29,282.9,8,27.9,1.8,44.6,111.8,126.5,Water,Aluminum,Grooved,Aluminum,59.4,Horizontal,Natural Convection,0,44.3,46.1,45.1,0.014,678415,226313219.8,94.9
144.2,14.31,196,8,,,40.1,74.8,81.1,Methanol,Copper,Grooved,Copper,61.3,Vertical (Bottom Heat),Forced Convection,3.4,43.8,45,44.2,0.008,697705,1265832062,
30.5,2.43,168.1,8,15.2,3.3,49.9,84,34.2,Ammonia,Copper,Grooved,Copper,51.4,Horizontal,Natural Convection,0,34.5,34.8,34.7,0.0083,634067,,
100,4.94,233,10,21.8,3.6,64.4,78.1,90.5,Water,Copper,Grooved,Copper,31.6,Horizontal,Forced Convection,2.9,33.5,34,33.7,0.0047,1110577,,94.7
169,32.02,89.1,10,21.2,3.7,16.8,37.7,34.6,Water,Copper,Grooved,Copper,46.7,Anti-Gravity (Top Heat),Forced Convection,2.4,24.7,26.9,25.3,0.0133,110782,,96.7
40.1,1.75,253.3,10,,,73,113.9,66.4,Acetone,Copper,Grooved,Copper,68.6,Horizontal,Natural Convection,0,26.6,26.8,26.7,0.0047,1243315,,
82,4.28,277.7,8,,,76.3,93,108.4,Methanol,Copper,Grooved,Copper,53.9,Vertical (Bottom Heat),Forced Convection,1.6,26.7,27.1,26.9,0.005,1849771,1100007452,
125.4,43.01,145.4,4,,,23.2,55.2,67,Water,Aluminum,Grooved,Aluminum,61.1,Horizontal,Natural Convection,0,28.1,37.3,32,0.0735,249354,425738600.7,
67.3,4.46,314.6,6,10.5,2.7,80.1,97.2,137.3,Water,Copper,Grooved,Copper,40.6,Vertical (Bottom Heat),Natural Convection,0,30.1,30.7,30.4,0.0088,2720428,287253575.7,
102.7,12.82,85.7,10,,,25.5,39.7,20.5,Water,Copper,Grooved,Copper,69.9,Anti-Gravity (Top Heat),Forced Convection,1.9,38.9,39.9,39.3,0.0102,144363,,
159.4,11.2,158.8,10,31.4,2.5,45.3,77.5,36,Methanol,Aluminum,Grooved,Aluminum,43.6,Vertical (Bottom Heat),Forced Convection,3.4,22.3,23.8,22.8,0.0097,277912,793703939,96.2
33,2.26,296.7,10,29.1,2.7,46.5,97.9,152.3,Ammonia,Copper,Grooved,Copper,46.7,Horizontal,Forced Convection,2.1,22.3,22.5,22.4,0.005,1112743,,97.3
108.7,4.72,270.8,10,,,73.3,108.2,89.3,Acetone,Copper,Grooved,Copper,44.8,Vertical (Bottom Heat),Natural Convection,0,23.7,24.2,24,0.0048,1406181,,96.8
90,3.22,323.3,10,35.7,2.2,89,124.3,110,Water,Copper,Grooved,Copper,53.2,Vertical (Bottom Heat),Natural Convection,0,25.8,26.2,26,0.004,2055704,191843019.2,97.3
46.7,15.68,85.9,6,8.3,3.4,15.8,27.8,42.3,Methanol,Copper,Grooved,Copper,46.4,Horizontal,Forced Convection,1.2,30.7,32.2,31.3,0.0312,152148,308633837.8,
53.7,5.83,140.5,10,,,29.3,52.6,58.6,Water,Aluminum,Grooved,Aluminum,43.6,Vertical (Bottom Heat),Natural Convection,0,33.7,34.7,34.2,0.0178,183896,,
175.7,8.59,277,8,,,81.4,100.8,94.8,Water,Aluminum,Grooved,Aluminum,54.2,Vertical (Bottom Heat),Natural Convection,0,20.1,21.8,21,0.0098,1124415,,
50.8,2.06,284,10,,,78.4,120.3,85.3,Water,Aluminum,Grooved,Aluminum,66.7,Horizontal,Natural Convection,0,24.2,24.6,24.4,0.0074,912677,,
118.9,8.26,195.3,10,,,45.8,63.3,86.2,Water,Aluminum,Grooved,Aluminum,36.3,Vertical (Bottom Heat),Natural Convection,0,37.6,39.1,38.4,0.0124,406437,,
166.3,9.82,250.4,8,12.6,4,67.4,89.9,93.1,Acetone,Copper,Grooved,Copper,34.9,Vertical (Bottom Heat),Natural Convection,0,36.6,37.8,37.3,0.0071,1453620,810688899.4,97.6
83.4,4.21,299.8,8,29.6,1.7,78.9,116.8,104.1,Acetone,Aluminum,Grooved,Aluminum,34.4,Vertical (Bottom Heat),Forced Convection,3,39.5,40.1,39.7,0.0074,1182712,,94.7
90.8,4.65,295,10,32.7,2.4,62.2,115.8,117,Water,Copper,Grooved,Copper,47.5,Vertical (Bottom Heat),Forced Convection,2.1,35.3,35.7,35.5,0.0041,1366080,,96.4
114.7,7.19,230,8,20.1,2.5,63.5,101.1,65.4,Water,Copper,Grooved,Copper,68.3,Horizontal,Forced Convection,3.7,33.9,34.5,34.1,0.0052,1178496,,
28.6,3.23,103.1,10,,,28.2,51.5,23.4,Water,Copper,Grooved,Copper,47.2,Horizontal,Forced Convection,3.3,28.1,28.4,28.2,0.0089,190159,,
33.1,3.95,154.3,6,10.1,2.8,44.4,49.7,60.2,Acetone,Copper,Grooved,Copper,32.8,Horizontal,Forced Convection,2.4,39.8,40.2,40,0.0135,715325,,
23.4,1.64,261.3,10,46.2,1.7,45.5,125.8,90,Water,Aluminum,Grooved,Aluminum,47.4,Horizontal,Forced Convection,1.9,24.2,24.4,24.3,0.0081,503856,,
33,10,91.5,6,,,17.5,39.9,34.1,Water,Copper,Grooved,Copper,61.2,Horizontal,Forced Convection,2.1,44.1,44.9,44.3,0.0254,165195,,
176.5,18.34,232.8,8,,,38.3,89,105.5,Water,Copper,Grooved,Copper,41.6,Horizontal,Natural Convection,0,39.2,41,40,0.0102,814057,,
53.4,4.92,189.5,8,,,43.2,68.6,77.7,Methanol,Copper,Grooved,Copper,66.5,Vertical (Bottom Heat),Forced Convection,2.7,37.4,37.8,37.5,0.008,724792,483796159,96.4
25.3,1.54,293.8,10,49.1,1.6,52.3,109.2,132.3,Methanol,Copper,Grooved,Copper,49.8,Vertical (Bottom Heat),Forced Convection,2.3,39.8,39.9,39.8,0.0046,1187279,,96.9
123.2,6.41,299.6,10,,,61.2,109.1,129.3,Methanol,Aluminum,Grooved,Aluminum,50.2,Vertical (Bottom Heat),Forced Convection,4,25.8,26.6,26.1,0.0068,826662,1360361949,
155.5,19.27,230.6,4,,,64.2,83.2,83.2,Water,Aluminum,Grooved,Aluminum,32.4,Vertical (Bottom Heat),Natural Convection,0,36.7,42,39.6,0.0338,1019479,630535898.8,
41.4,5.05,90.6,10,26.2,3,26.1,37.4,27.1,Water,Copper,Grooved,Copper,43.6,Vertical (Bottom Heat),Natural Convection,0,32.9,33.5,33.2,0.0134,163757,,
101.4,7.4,214.7,8,14,3.6,54.5,101.3,58.9,Acetone,Aluminum,Grooved,Aluminum,69.6,Vertical (Bottom Heat),Natural Convection,0,33.2,34.5,33.8,0.013,553403,404528136.1,
9,0.51,208.9,10,,,55.9,100.1,52.9,Ammonia,Copper,Grooved,Copper,39.5,Vertical (Bottom Heat),Natural Convection,0,21.3,21.4,21.4,0.0056,779976,,
10.7,1.74,161.7,8,20.9,2.4,24.5,53.8,83.4,Acetone,Aluminum,Grooved,Aluminum,41.4,Horizontal,Natural Convection,0,26.6,26.9,26.7,0.0272,222866,,
150.7,28.28,225.4,4,,,42.4,84.9,98.1,Water,Copper,Grooved,Copper,56.8,Horizontal,Forced Convection,2,25.8,29,26.9,0.0211,1173717,,
6.1,1.39,88.2,6,,,23.3,27.9,37,Ammonia,Aluminum,Grooved,Aluminum,33.5,Horizontal,Natural Convection,0,31,31.3,31.2,0.0502,129604,,
9.4,0.72,182.1,8,27.9,1.8,51.6,61.8,68.7,Methanol,Copper,Grooved,Copper,51.6,Horizontal,Forced Convection,2.6,25.5,25.6,25.6,0.0076,812592,86104205.6,95.3
8.5,0.85,306.7,6,17.7,1.6,52.8,110,143.9,Water,Aluminum,Grooved,Aluminum,43,Vertical (Bottom Heat),Forced Convection,3.1,41.1,41.2,41.1,0.0143,1057400,34754104.5,
110.8,7.99,260.3,6,10.9,2.6,73.6,123.7,63,Water,Aluminum,Grooved,Aluminum,46,Horizontal,Natural Convection,0,21.9,23.4,22.6,0.0137,1057531,,96.1
10.5,0.77,318.2,6,16.6,1.7,72,136.7,109.5,Acetone,Copper,Grooved,Copper,66.5,Vertical (Bottom Heat),Natural Convection,0,35.6,35.7,35.7,0.0081,2312951,,
110.3,15.62,194.8,4,6.3,2,56.2,95,43.6,Water,Copper,Grooved,Copper,47,Vertical (Bottom Heat),Forced Convection,1.8,37,38.8,37.7,0.016,1146488,376136163.4,
5.3,0.57,165.6,8,25.1,2,37.1,76.8,51.7,Water,Copper,Grooved,Copper,56.3,Vertical (Bottom Heat),Natural Convection,0,21.5,21.6,21.6,0.0109,506474,10682879.5,
143.1,26.98,86.2,8,,,21.1,39.5,25.6,Water,Copper,Grooved,Copper,37.1,Vertical (Bottom Heat),Forced Convection,3.8,31.1,33.3,31.9,0.0154,148207,,
103.4,8.4,258.4,8,29.6,1.7,49,80.2,129.2,Acetone,Copper,Grooved,Copper,57,Vertical (Bottom Heat),Forced Convection,3.6,36.6,37.3,36.9,0.0071,1192465,579685624.6,
145.7,17.05,326.9,4,4.1,3.1,68,119.4,139.5,Water,Copper,Grooved,Copper,30.7,Horizontal,Natural Convection,0,28.4,30.8,29.6,0.0162,2713888,1026097873,97.2
89.5,16.26,123,8,,,21.9,39.8,61.3,Water,Aluminum,Grooved,Aluminum,39.4,Vertical (Bottom Heat),Natural Convection,0,29.9,32.7,31.2,0.0308,149954,,
101.9,12.72,147,10,52.4,1.5,25.5,66.8,54.7,Water,Aluminum,Grooved,Aluminum,45.9,Vertical (Bottom Heat),Forced Convection,2.6,42.9,44.3,43.2,0.0142,162143,,
14.7,0.7,267,10,23.8,3.3,67.1,105.8,94.1,Ammonia,Aluminum,Grooved,Aluminum,34.6,Vertical (Bottom Heat),Forced Convection,1,20.8,20.9,20.8,0.0067,763556,,96
170.6,33.94,82.4,10,37.4,2.1,16,28.3,38.1,Water,Aluminum,Grooved,Aluminum,68.8,Vertical (Bottom Heat),Forced Convection,2.9,43.1,47.8,44.9,0.0275,60782,62795674.5,
42.4,3.83,239.2,6,,,58.7,97.9,82.6,Methanol,Copper,Grooved,Copper,30.3,Vertical (Bottom Heat),Forced Convection,3.6,22.1,22.4,22.2,0.0082,1418879,,
33.5,8.15,99.4,6,,,21.8,49,28.6,Water,Copper,Grooved,Copper,47.9,Vertical (Bottom Heat),Natural Convection,0,23.1,24,23.5,0.026,209711,,
31.1,1.68,282.2,8,,,73.5,132.6,76.1,Water,Copper,Grooved,Copper,60.9,Vertical (Bottom Heat),Forced Convection,3.9,39.4,39.5,39.4,0.0043,1654524,,
21.8,2.89,159.5,8,45.7,1.1,30,66.5,63,Acetone,Aluminum,Grooved,Aluminum,38.7,Vertical (Bottom Heat),Natural Convection,0,30.8,31.3,31,0.0209,247733,,
37.6,8.5,178.1,4,,,35.2,60.8,82.1,Water,Aluminum,Grooved,Aluminum,58,Horizontal,Natural Convection,0,26.8,28.8,27.8,0.0531,463455,,97.1
66.2,9.67,156.8,6,,,36.3,74,46.5,Water,Aluminum,Grooved,Aluminum,34.6,Vertical (Bottom Heat),Forced Convection,4,40.2,41.6,40.7,0.0214,327995,,
142.3,7.94,267.6,8,,,71.3,94.3,102,Acetone,Aluminum,Grooved,Aluminum,57.1,Vertical (Bottom Heat),Natural Convection,0,29,30.5,29.8,0.0108,978025,,94.6
6.6,0.49,318,8,18,2.8,53.2,152.1,112.7,Methanol,Copper,Grooved,Copper,44.9,Vertical (Bottom Heat),Natural Convection,0,36,36,36,0.0066,1438734,,
52.7,3.34,323.7,10,25.3,3.1,50.2,138.5,135,Ammonia,Copper,Grooved,Copper,47.1,Vertical (Bottom Heat),Natural Convection,0,27.5,27.8,27.6,0.0054,1227216,,96.8
167.8,14.12,306,8,,,47.3,121.3,137.4,Methanol,Copper,Grooved,Copper,45.8,Vertical (Bottom Heat),Forced Convection,3.8,31.3,32.4,31.6,0.0064,1316887,2426224189,
17.6,1.26,267.1,6,,,74.2,94.4,98.5,Water,Aluminum,Grooved,Aluminum,44.9,Vertical (Bottom Heat),Natural Convection,0,32.8,33.1,33,0.0158,1205635,66560864.9,
73.2,3.44,345.4,8,,,84.7,138.6,122.1,Water,Aluminum,Grooved,Aluminum,40.5,Vertical (Bottom Heat),Forced Convection,1.2,34.5,35,34.7,0.0066,1471149,,95.9
107.9,5.74,236.6,10,,,59.8,101.1,75.7,Methanol,Copper,Grooved,Copper,56.1,Vertical (Bottom Heat),Forced Convection,1.7,27.8,28.3,28,0.0044,994976,868481594.4,
57,2.51,337.3,8,,,90.5,148.1,98.7,Methanol,Aluminum,Grooved,Aluminum,67.1,Vertical (Bottom Heat),Forced Convection,1.8,33,33.4,33.2,0.0062,1464569,854980219.7,96.2
18,0.87,282.8,10,,,65.7,120.8,96.3,Methanol,Copper,Grooved,Copper,33.5,Horizontal,Forced Convection,2.9,24.2,24.3,24.3,0.0037,1326969,,95.5
17.8,1.65,307.4,4,7.4,1.7,86.1,111.7,109.6,Ammonia,Copper,Grooved,Copper,49.1,Vertical (Bottom Heat),Natural Convection,0,42.1,42.4,42.3,0.0153,3071528,,
36.5,23.05,103.8,3,3.2,2.2,16.8,35.9,51.1,Water,Aluminum,Grooved,Aluminum,30.9,Horizontal,Forced Convection,2.2,44.2,50.4,46.2,0.1706,110860,,
161,8.37,259.8,10,,,61.2,126.5,72.1,Methanol,Copper,Grooved,Copper,45.4,Vertical (Bottom Heat),Natural Convection,0,26.7,27.5,27.1,0.005,1082175,,
162,10.94,236.1,8,25.1,2,58.9,77,100.2,Methanol,Aluminum,Grooved,Aluminum,68.1,Vertical (Bottom Heat),Forced Convection,2.5,30,31.7,30.7,0.0104,735215,,94.5
31.9,3.64,129.5,8,38.7,1.3,34.9,48.9,45.7,Acetone,Aluminum,Grooved,Aluminum,51,Horizontal,Forced Convection,1.2,22.8,23.4,23.1,0.0183,226932,,
90.6,19.7,104,8,16.8,3,18.3,50.3,35.4,Water,Aluminum,Grooved,Aluminum,46.7,Vertical (Bottom Heat),Forced Convection,1.8,25,27.3,25.5,0.0256,94776,,95.5
40.3,1.78,324.3,8,12.9,3.9,90,150.6,83.7,Acetone,Copper,Grooved,Copper,37.6,Vertical (Bottom Heat),Natural Convection,0,24.3,24.5,24.4,0.0046,2305538,,
99.2,14.29,110.5,10,,,22.1,33.7,54.7,Water,Aluminum,Grooved,Aluminum,52.4,Anti-Gravity (Top Heat),Forced Convection,1.8,42.7,44.8,43.6,0.0212,115094,,
123.1,31.1,115.8,6,,,21,44,50.8,Water,Copper,Grooved,Copper,56.9,Anti-Gravity (Top Heat),Natural Convection,0,28.2,31.4,29.6,0.0263,262943,,95
49.4,5.03,283.1,4,6.6,1.9,78.1,129.3,75.7,Water,Aluminum,Grooved,Aluminum,38.2,Vertical (Bottom Heat),Forced Convection,3.8,23.1,24.1,23.5,0.0197,1417943,,
36.9,13.35,123.5,4,4.7,2.7,22,52.2,49.3,Water,Aluminum,Grooved,Aluminum,37.9,Anti-Gravity (Top Heat),Natural Convection,0,39.9,42.8,41.2,0.0781,192371,,
25.6,3.38,201.5,4,,,60.2,92.4,48.9,Water,Aluminum,Grooved,Aluminum,58.3,Vertical (Bottom Heat),Natural Convection,0,22.2,23,22.6,0.0324,762747,,
13.6,1.7,140.8,10,56.1,1.4,25.5,57.8,57.5,Acetone,Copper,Grooved,Copper,62,Horizontal,Natural Convection,0,41.1,41.3,41.2,0.0114,269387,30095682.4,95.1
7.2,0.61,238.7,8,20.9,2.4,47.3,85.8,105.6,Ammonia,Aluminum,Grooved,Aluminum,64.5,Vertical (Bottom Heat),Forced Convection,2.8,34.9,35,34.9,0.0116,604817,15004536.9,
7.7,0.29,303.5,10,,,84.2,139.8,79.5,Acetone,Copper,Grooved,Copper,69.6,Vertical (Bottom Heat),Forced Convection,1.8,44.5,44.5,44.5,0.0031,1718004,,
13.1,5.96,105.1,4,,,17.5,48.3,39.3,Water,Aluminum,Grooved,Aluminum,54.7,Vertical (Bottom Heat),Natural Convection,0,31,32.3,31.6,0.0963,127868,,
55,3.86,333.5,8,27.9,1.8,56.7,127.4,149.4,Methanol,Copper,Grooved,Copper,31.1,Vertical (Bottom Heat),Natural Convection,0,22.5,22.9,22.7,0.0065,1719234,,
25.7,2.41,325.1,4,4.8,2.6,84.7,144.1,96.3,Water,Copper,Grooved,Copper,42.7,Horizontal,Forced Convection,2.3,35.2,35.5,35.3,0.011,3054180,199497225.1,
77.9,4.62,216.2,10,43.6,1.8,53.7,88.2,74.3,Water,Copper,Grooved,Copper,62.1,Vertical (Bottom Heat),Natural Convection,0,23.1,23.6,23.4,0.006,831571,,
34,5.55,182.5,6,,,32.5,89.5,60.5,Ammonia,Copper,Grooved,Copper,62.1,Horizontal,Natural Convection,0,23.9,24.5,24.2,0.0168,593422,74259890.1,
28.1,2.85,160.1,8,29.6,1.7,39.2,72.9,48,Water,Copper,Grooved,Copper,52.7,Vertical (Bottom Heat),Natural Convection,0,44.4,44.7,44.5,0.0103,512508,,
11.5,0.88,142.3,10,21.2,3.7,41.7,63.6,37,Methanol,Copper,Grooved,Copper,61.2,Horizontal,Natural Convection,0,41.1,41.2,41.2,0.008,398342,53375598.5,
5.5,1.66,141.3,3,,,35.2,44.2,61.9,Water,Aluminum,Grooved,Aluminum,49.4,Anti-Gravity (Top Heat),Natural Convection,0,37.3,38,37.7,0.1242,304697,,94.9
91.8,12.77,185.1,8,,,28.6,57,99.5,Water,Aluminum,Grooved,Aluminum,53.7,Vertical (Bottom Heat),Natural Convection,0,37.9,40.1,39,0.0243,302413,,
123.7,5.54,319.6,8,,,88.8,107.5,123.3,Water,Copper,Grooved,Copper,33,Horizontal,Natural Convection,0,24.7,25.3,25,0.0052,2470910,331449340.6,
113.5,20.18,108.8,10,27.1,2.9,17.9,35.7,55.2,Water,Aluminum,Grooved,Aluminum,34.7,Vertical (Bottom Heat),Forced Convection,2.4,21.2,23.8,22.1,0.0232,92539,,95.7
170.2,8.81,264.5,8,13.2,3.8,76.9,123.8,63.8,Methanol,Copper,Grooved,Copper,61.8,Vertical (Bottom Heat),Natural Convection,0,39.7,40.6,40.1,0.0054,1585214,1771228658,
59.3,5.38,120.5,10,,,35.1,46.4,39,Acetone,Copper,Grooved,Copper,44.3,Vertical (Bottom Heat),Forced Convection,1.4,28.1,28.6,28.3,0.0083,298251,107159188.5,
17.7,1.5,326.9,4,,,93.8,138.9,94.2,Water,Aluminum,Grooved,Aluminum,68.2,Horizontal,Forced Convection,3,25,25.3,25.1,0.0169,1998665,,
102.6,14.22,159.9,8,13.6,3.7,28.7,60.1,71.1,Water,Copper,Grooved,Copper,60.8,Vertical (Bottom Heat),Forced Convection,2.6,21.9,23,22.2,0.0109,416513,,
12.2,3,99.2,6,7.9,3.6,21.6,41.8,35.8,Methanol,Aluminum,Grooved,Aluminum,59.3,Vertical (Bottom Heat),Natural Convection,0,38.3,38.8,38.5,0.0444,129476,,
115.9,10.5,156.2,8,,,43.9,56.5,55.8,Water,Aluminum,Grooved,Aluminum,47.2,Vertical (Bottom Heat),Natural Convection,0,27.4,29.5,28.6,0.0184,345773,,94.7
166.3,21.26,150.6,6,,,41.5,59.6,49.5,Water,Aluminum,Grooved,Aluminum,57.1,Vertical (Bottom Heat),Natural Convection,0,29.4,33.7,31.6,0.0261,369083,,97.1
98.4,5.41,259.2,10,,,57.9,125.9,75.4,Water,Aluminum,Grooved,Aluminum,54.7,Vertical (Bottom Heat),Forced Convection,1.9,30.2,30.9,30.4,0.0069,610720,146094631.4,
178.1,20.45,273.7,6,,,46.2,126.2,101.3,Water,Aluminum,Grooved,Aluminum,69.1,Horizontal,Natural Convection,0,35.7,39.1,37.1,0.0189,770036,,
25.4,3.44,111.6,10,,,23.5,48.7,39.4,Water,Aluminum,Grooved,Aluminum,52.6,Anti-Gravity (Top Heat),Forced Convection,2.8,25.4,25.8,25.5,0.0173,111857,23075580.9,
50.5,6.59,149.5,8,,,30.5,47.2,71.8,Methanol,Copper,Grooved,Copper,31.4,Vertical (Bottom Heat),Forced Convection,3.2,44.8,45.4,45,0.0112,423812,,94.7
15.7,2.04,219.2,6,8.6,3.3,40.9,95.4,82.9,Methanol,Copper,Grooved,Copper,39.6,Vertical (Bottom Heat),Forced Convection,1.5,38.1,38.3,38.2,0.0105,928098,,
